Address,rate
0x04d23a05d25c6510a6ba73dfdf318fd8048cefbb,0.0000
0x068b3e4f92e94f1244b0258d47b73e43ac05d138,0.0000
0x0df7430d081fb1509439388650c9266c5a414f39,35.0000
0x155546c165ab3300c46686cc895ad31df3cc6096,0.0000
0x17ab1b40b157765847c3eab89bf51af5909d0151,0.0000
0x17fe4ed21e35b5ad800179b0c20447ca3f5280db,0.0000
0x1bfb1f6ac93aa9cfc87c730d31a17a3cbfac94ad,0.0000
0x262275bf0e822da14c5330508c72fd61bf51b00b,100.0000
0x2a1049062c6cfd69bd38fbaf3b0559df1dbbc92c,0.0000
0x3226c9eac0379f04ba2b1e1e1fcd52ac26309aea,0.0000
0x33b37dd5862021a217157655ea2561f3a056e8b1,40.0000
0x3e0cf03f718520f30300266dcf4db50ba12d3331,0.0000
0x3ef23e94fec0ce813b31fc8e07639eb12ddbf46e,0.0000
0x3f047877e6613676d50bf001b383682adaebe463,150.0000
0x3f2be6b2060af7c4e181db205a690f124fdf7ad8,300.0000
0x42d68d4e81087e43e70f6fd56be4ee356da3a3ac,360.0000
0x4444ad20879051b696a1c14ccf6e3b0459466666,0.0000
0x44c2a8b0b346407608d32c0f09f49365df924dda,0.0000
0x44cceaedf4cdf32b96464cf3c18c9361633a7c1f,0.0000
0x452181dae31cf9f42189df71ec64298993bee6d3,10.0000
0x4929f4d38f2955649b5aa34343da04cf790b9d92,200.0000
0x4a40cde23db0458215943f227d7a73c8772df24d,"2,180.0000"
0x4bd55f400362ba1da6043b71fe078037f4857fc9,4.7000
0x4f5aed222df10b35aabe01ec1f30e0b7533041ce,0.0000
0x5361275290e643ba3b469114186023937f812123,0.0000
0x58a6a8621614759bd5cd65b1e508a8a180606111,0.0000
0x6241ea6e3b748b33c1f7f2a1fea41350ed2c7948,0.0000
0x658e1b019f2f30c8089a9ae3ae5820f335bd9ce4,0.0000
0x6b5d97bb91779c1fff3aac49c35767b62ab9b032,0.0000
0x6b675aec58813fa5c7828ce47a483da71918bc00,0.0000
0x6b94866ae4c82bc4ea412f5937e28c3b607aa8e3,0.0000
0x7202189a6111b3f96c6470e14a3fd83e0ed15f38,"1,007.0000"
0x73329d2ce3feda714d5109a4e26782df9cf3d27e,0.0000
0x74b62276ccfab748892456aaa5ae632ea75d6cc8,0.0000
0x7689f17560b5ee53799f0b37c975927e1258fbb5,97.0000
0x7be3ae5297f6b1271563e210deac9bd64c2b2654,0.0000
0x7bedfb9ae170826148c602783e3e1b3763b62863,6.0000
0x800e2845c8c56b564200fbab170a148f49ec0da1,0.0000
0x84534a65572e76d2376add0af5b5a236c991426d,0.0000
0x8c55f1bfded87df489233b529361e3af3e89d187,25.0000
0x8c730f127f6853feb61bc0cd4f6b1f0201eb08c2,0.0000
0x8de3c79efb0a3bae779e2cc5b6f5023913fca547,"1,000.0000"
0x8ef089a6fa4fb37180fc6d9be37e4a13fa95416a,0.0000
0x9664cd8e46f3881cce3703c14ab6c8f50e89a728,0.0000
0x9731b0c8436c63cb018a9d81465ede49ecb0390e,"1,000.0000"
0x980b6c8c5cd4aef84fbe5a1ac6a50bc7423d6e74,100.0000
0x9b78f698c42e3340f51bedea615ac9d8ce6e1922,0.0000
0x9fd5056419824d79bd9d2b0c486639e718bc1ed6,0.0000
0xa58dffd62087b055d3f376f00ac58aad6d1fffb0,71.0000
0xae513c4bde5ba519ad9192b239cc4aeab1843eb0,0.0000
0xae5499976ffd3e58be47bdd51c787a5201d957f4,30.0000
0xb2a53dd25858b9f572f84c07d10ec1303f6cbf66,0.0000
0xb3d1e41f84acd0e77f83473aa62fc8560c2a3c0c,10.0000
0xb47a9b6f062c33ed78630478dff9056687f840f2,0.0000
0xc2935c15dfd5da610bc63a61fb05968cc3ea1768,64.0000
0xc3bac9fb56d65ec47feef369fb99ee99e5c03756,173.0000
0xc5a7b67d0486504e6fb8424a047456740bb97b15,55.0000
0xc6c8aecb1d9ca59a09d691cda8539992655dbfb3,"1,000.0000"
0xc76f3e147f9237e0ed591404a75291a3c0da3242,79.0000
0xc9d7858797acf8f67515828401423a6b02a646b5,26.0000
0xcd10f5e7964dbc07218725ae2c4ed6320e5179fe,0.0000
0xce66c6a88bd7bec215aa04fda4cf7c81055521d0,"1,139.0000"
0xceb4365754e7b12b4a142f08e4b6bb9aee2abd11,100.0000
0xd0ac50d9f7516be16e2449539394a3967bea03c7,3.5000
0xd7a63e066d172db6f73b0c745bac58162e8a689d,390.0000
0xd8e89abe08d2f5f660b8d476a4633384324bbf3b,0.0000
0xd964ab7e202bab8fbaa28d5ca2b2269a5497cf68,"1,000.0000"
0xddc570bafd31c4a3545a3d742b9d022e78a9cb7f,0.0000
0xde9c3fdb901eaeef8a18e07b810c0e5c9ce788d7,100.0000
0xdf29ee8f6d1b407808eb0270f5b128dc28303684,300.0000
0xe2d8e1a872c91a0185d94b2aabb438cba4ebf78b,0.0000
0xe87ff40fc19b01a4d6e55430c8f736dc529bb39c,0.0000
0xe8b384917ed2650f06406e7c7f87dd9df0080fd7,400.0000
0xeb9b5bcc068d5471ee50af7b54e0018c740877bb,0.0000
0xf91777db2617502d53360c6862801f5d70e199e4,0.0000
0xf925f7e55b262e5dc7a85d42e08f3216bc66ae59,0.2500
0xf98c7c743c0adc30b5839336fb9558fa052463a3,0.0000
0xf9a2e73622e2d31f64f0e80d4b3e163880f8e838,10.0000
0xfcec919df4b6e476117d8bcacf4cb9562ccc0f76,0.0000
0xfde4e3b27edd706e2d3e6dc9e7a90422d6a2de7c,0.0000
